Variant,formation_year,ticker,baseline_rank,variant_rank,rank_change
Without fcf_margin,2022,INTU,-,10,999
Without fcf_margin,2022,NVDA,8,7,-1
Without fcf_margin,2022,PFE,10,-,999
Without fcf_margin,2022,TXN,7,8,1
Without fcf_margin,2023,LRCX,10,7,-3
Without fcf_margin,2023,MSFT,7,8,1
Without fcf_margin,2023,OXY,9,10,1
Without fcf_margin,2023,PFE,8,9,1
Without fcf_margin,2024,COST,8,4,-4
Without fcf_margin,2024,GOOGL,6,8,2
Without fcf_margin,2024,JNJ,10,-,999
Without fcf_margin,2024,META,7,9,2
Without fcf_margin,2024,MSFT,4,6,2
Without fcf_margin,2024,NVDA,9,7,-2
Without fcf_margin,2024,UNH,-,10,999
Without fcf_margin,2025,COST,10,9,-1
Without fcf_margin,2025,INTU,9,10,1
Without fcf_conversion,2015,GOOGL,8,9,1
Without fcf_conversion,2015,INTU,9,-,999
Without fcf_conversion,2015,META,3,2,-1
Without fcf_conversion,2015,MSFT,2,3,1
Without fcf_conversion,2015,SBUX,-,8,999
Without fcf_conversion,2016,CRM,7,9,2
Without fcf_conversion,2016,V,9,7,-2
Without fcf_conversion,2017,AMZN,8,10,2
Without fcf_conversion,2017,INTU,6,7,1
Without fcf_conversion,2017,MA,7,6,-1
Without fcf_conversion,2017,SBUX,10,9,-1
Without fcf_conversion,2017,TXN,9,8,-1
Without fcf_conversion,2018,ADBE,4,5,1
Without fcf_conversion,2018,INTU,5,4,-1
Without fcf_conversion,2018,KLAC,8,9,1
Without fcf_conversion,2018,LRCX,1,2,1
Without fcf_conversion,2018,META,3,1,-2
Without fcf_conversion,2018,NVDA,2,3,1
Without fcf_conversion,2018,SBUX,9,8,-1
Without fcf_conversion,2019,ADBE,5,6,1
Without fcf_conversion,2019,INTU,3,4,1
Without fcf_conversion,2019,KLAC,9,7,-2
Without fcf_conversion,2019,LRCX,2,3,1
Without fcf_conversion,2019,MA,8,9,1
Without fcf_conversion,2019,META,4,1,-3
Without fcf_conversion,2019,MSFT,7,8,1
Without fcf_conversion,2019,NVDA,1,2,1
Without fcf_conversion,2019,V,6,5,-1
Without fcf_conversion,2020,ASML,7,8,1
Without fcf_conversion,2020,MA,4,3,-1
Without fcf_conversion,2020,META,9,7,-2
Without fcf_conversion,2020,MSFT,5,4,-1
Without fcf_conversion,2020,TXN,8,9,1
Without fcf_conversion,2020,V,3,5,2
Without fcf_conversion,2021,ADBE,1,2,1
Without fcf_conversion,2021,GOOGL,6,5,-1
Without fcf_conversion,2021,INTU,5,6,1
Without fcf_conversion,2021,META,2,1,-1
Without fcf_conversion,2022,ADBE,4,5,1
Without fcf_conversion,2022,ASML,2,3,1
Without fcf_conversion,2022,GOOGL,3,1,-2
Without fcf_conversion,2022,INTU,-,10,999
Without fcf_conversion,2022,KLAC,9,8,-1
Without fcf_conversion,2022,LRCX,5,4,-1
Without fcf_conversion,2022,META,1,2,1
Without fcf_conversion,2022,NVDA,8,9,1
Without fcf_conversion,2022,PFE,10,-,999
Without fcf_conversion,2023,LRCX,10,7,-3
Without fcf_conversion,2023,MSFT,7,9,2
Without fcf_conversion,2023,NVDA,3,4,1
Without fcf_conversion,2023,OXY,9,10,1
Without fcf_conversion,2023,TXN,6,3,-3
Without fcf_conversion,2023,V,4,6,2
Without fcf_conversion,2024,ADBE,3,4,1
Without fcf_conversion,2024,ASML,5,3,-2
Without fcf_conversion,2024,COST,8,9,1
Without fcf_conversion,2024,GOOGL,6,7,1
Without fcf_conversion,2024,META,7,8,1
Without fcf_conversion,2024,MSFT,4,5,1
Without fcf_conversion,2024,NVDA,9,6,-3
Without fcf_conversion,2025,ADBE,5,7,2
Without fcf_conversion,2025,ASML,3,4,1
Without fcf_conversion,2025,COST,10,9,-1
Without fcf_conversion,2025,GOOGL,2,3,1
Without fcf_conversion,2025,INTU,9,10,1
Without fcf_conversion,2025,META,1,2,1
Without fcf_conversion,2025,MSFT,6,5,-1
Without fcf_conversion,2025,NVDA,4,1,-3
Without fcf_conversion,2025,V,7,6,-1
Without net_debt_ebitda,2015,GOOGL,8,10,2
Without net_debt_ebitda,2015,LRCX,5,6,1
Without net_debt_ebitda,2015,MO,10,7,-3
Without net_debt_ebitda,2015,NKE,7,8,1
Without net_debt_ebitda,2015,TXN,6,5,-1
Without net_debt_ebitda,2016,CRM,7,9,2
Without net_debt_ebitda,2016,MA,5,6,1
Without net_debt_ebitda,2016,TXN,6,5,-1
Without net_debt_ebitda,2016,V,9,7,-2
Without net_debt_ebitda,2017,AMZN,8,9,1
Without net_debt_ebitda,2017,TXN,9,8,-1
Without net_debt_ebitda,2018,KLAC,8,9,1
Without net_debt_ebitda,2018,SBUX,9,8,-1
Without net_debt_ebitda,2019,ADBE,5,2,-3
Without net_debt_ebitda,2019,ASML,10,-,999
Without net_debt_ebitda,2019,INTU,3,4,1
Without net_debt_ebitda,2019,KLAC,9,10,1
Without net_debt_ebitda,2019,LRCX,2,3,1
Without net_debt_ebitda,2019,META,4,6,2
Without net_debt_ebitda,2019,TXN,-,9,999
Without net_debt_ebitda,2019,V,6,5,-1
Without net_debt_ebitda,2020,ASML,7,9,2
Without net_debt_ebitda,2020,KLAC,10,7,-3
Without net_debt_ebitda,2020,META,9,10,1
Without net_debt_ebitda,2022,KLAC,9,7,-2
Without net_debt_ebitda,2022,NVDA,8,9,1
Without net_debt_ebitda,2022,TXN,7,8,1
Without net_debt_ebitda,2023,ASML,2,4,2
Without net_debt_ebitda,2023,LRCX,10,9,-1
Without net_debt_ebitda,2023,MA,5,2,-3
Without net_debt_ebitda,2023,MSFT,7,10,3
Without net_debt_ebitda,2023,NVDA,3,5,2
Without net_debt_ebitda,2023,OXY,9,6,-3
Without net_debt_ebitda,2023,PFE,8,7,-1
Without net_debt_ebitda,2023,TXN,6,8,2
Without net_debt_ebitda,2023,V,4,3,-1
Without net_debt_ebitda,2024,INTU,-,9,999
Without net_debt_ebitda,2024,NVDA,9,-,999
Without net_debt_ebitda,2025,ADBE,5,7,2
Without net_debt_ebitda,2025,MA,8,5,-3
Without net_debt_ebitda,2025,MSFT,6,8,2
Without net_debt_ebitda,2025,V,7,6,-1
Without leverage,2015,GOOGL,8,10,2
Without leverage,2015,JNJ,4,5,1
Without leverage,2015,LRCX,5,3,-2
Without leverage,2015,MA,1,2,1
